Name                       Version                         Rev    Tracking         Publisher           Notes
bare                       1.0                             5      latest/stable    canonical**         base
core18                     20260204                        2999   latest/stable    canonical**         base
core22                     20260410                        2437   latest/stable    canonical**         base
core24                     20260410                        1643   latest/stable    canonical**         base
desktop-security-center    0+git.bcdc379                   188    1/stable/…       canonical**         -
firefox                    154.0-1                         8763   latest/stable    mozilla**           -
firmware-updater           0+git.5645b80                   226    1/stable/…       canonical**         -
gnome-42-2204              0+git.4982e7b-sdk0+git.69b626a  263    latest/stable/…  canonical**         -
gnome-46-2404              0+git.b31ceab-sdk0+git.f0723a0  164    latest/stable    canonical**         -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**         -
gtk-theme-orchis           2022-07-20                      3      latest/stable    eeickmeyer          -
mesa-2404                  25.2.8-snap288                  1839   latest/stable    canonical**         -
prompting-client           0+git.dd8c750                   228    1/stable/…       canonical**         -
snap-store                 0+git.d2bdf905                  1419   2/stable/…       canonical**         -
snapd                      2.76.3                          27738  latest/stable    canonical**         snapd
snapd-desktop-integration  0.9                             391    latest/stable/…  canonical**         -
telegram-desktop           7.2.8                           7146   latest/stable    telegram-desktop**  -
